id,booking_status_pred,Cancellation_prob
42100,0,0.110216364
42101,0,0.02898312
42102,0,0.29930267
42103,0,0.14335454
42104,1,0.62088805
42105,1,0.6799483
42106,0,0.4099378
42107,1,0.68037105
42108,0,3.6032123e-08
42109,1,0.52960855
42110,1,0.7020199
42111,0,0.213196
42112,0,0.31858224
42113,0,0.14092205
42114,0,0.35672122
42115,1,0.75552
42116,0,0.05182612
42117,0,0.2985267
42118,1,0.91633195
42119,1,0.8502034
42120,1,0.9124266
42121,0,0.34910804
42122,0,0.0085605765
42123,1,0.7490351
42124,1,0.87692845
42125,0,0.005209395
42126,0,7.752711e-22
42127,0,0.005667272
42128,0,0.22433163
42129,1,0.6974892
42130,1,0.8669419
42131,0,0.34712282
42132,0,0.4739378
42133,1,0.96957004
42134,1,0.50333047
42135,0,2.6951661e-13
42136,0,0.048585888
42137,0,0.48382193
42138,1,0.55632013
42139,1,0.84841275
42140,0,0.0018365077
42141,0,0.19993235
42142,0,0.48760048
42143,1,0.81983364
42144,0,0.09612525
42145,1,0.83175945
42146,0,0.041555393
42147,1,0.8858721
42148,1,0.6220751
42149,0,0.4950953
42150,0,0.3170667
42151,1,0.76193786
42152,1,0.7436633
42153,0,0.116760075
42154,1,0.5085292
42155,0,0.4271954
42156,0,0.4114212
42157,0,0.014575769
42158,0,0.35899928
42159,1,0.8192741
42160,1,0.5699915
42161,0,9.634929e-06
42162,0,0.064814985
42163,0,0.034340445
42164,1,0.81042254
42165,0,0.45874205
42166,1,0.80936486
42167,0,3.681505e-08
42168,1,0.79911417
42169,1,0.7671929
42170,0,0.02764734
42171,0,0.36669546
42172,0,0.19392672
42173,1,0.7813319
42174,0,0.090574965
42175,0,0.25194362
42176,1,0.8994773
42177,0,0.21560723
42178,0,0.024011804
42179,1,0.90045667
42180,1,0.6488573
42181,1,0.6235399
42182,1,0.75992835
42183,0,0.3754358
42184,0,0.036142707
42185,0,0.14014955
42186,0,0.18822944
42187,0,0.32518935
42188,0,0.009400856
42189,0,0.1570616
42190,0,0.17461859
42191,0,0.40953082
42192,0,0.3061727
42193,0,0.35957104
42194,0,0.3368807
42195,1,0.92807364
42196,1,0.8198473
42197,0,0.40637463
42198,1,0.67846286
42199,1,0.55980206
42200,1,0.59735435
42201,1,0.551263
42202,0,0.37968266
42203,0,0.21701531
42204,1,0.81497926
42205,0,0.15037541
42206,0,0.0045580994
42207,1,0.7061248
42208,0,0.1378376
42209,0,0.18340352
42210,0,0.16916326
42211,0,0.23193571
42212,0,0.26641056
42213,1,0.8494547
42214,1,0.6419483
42215,0,0.25735983
42216,1,0.70728
42217,0,0.12319292
42218,0,0.022011079
42219,0,0.23241891
42220,0,0.21385907
42221,1,0.7189478
42222,1,0.5079572
42223,0,0.13798404
42224,1,0.9366865
42225,1,0.711046
42226,1,0.8587334
42227,0,0.063467905
42228,1,0.7173258
42229,0,0.10276294
42230,0,0.31471902
42231,1,0.7385623
42232,1,0.7579147
42233,0,0.09923535
42234,1,0.90012157
42235,0,0.10691087
42236,0,0.04157665
42237,1,0.8087938
42238,0,0.3521116
42239,0,0.2737805
42240,1,0.9257524
42241,1,0.53278756
42242,0,0.14139794
42243,1,0.91778404
42244,0,0.1381605
42245,1,0.6337275
42246,1,0.9384266
42247,1,0.61861753
42248,1,0.5067045
42249,1,0.85146475
42250,1,0.55826783
42251,0,0.29447016
42252,1,0.8160847
42253,1,0.72051954
42254,0,0.052595686
42255,0,0.1359462
42256,1,0.7225587
42257,1,0.68865836
42258,0,0.4155731
42259,1,0.68520766
42260,1,0.70463175
42261,1,0.7192219
42262,1,0.90863293
42263,1,0.9517989
42264,0,0.0887127
42265,1,0.8120186
42266,0,0.029726444
42267,0,0.19962837
42268,1,0.7140932
42269,0,0.07521997
42270,1,0.88638234
42271,1,0.80262005
42272,0,0.069237754
42273,0,0.111639135
42274,1,0.7639789
42275,0,0.37309018
42276,0,0.10516532
42277,0,0.0961197
42278,0,0.029223422
42279,0,0.37291464
42280,0,0.39958394
42281,0,0.0063440627
42282,0,0.4314102
42283,0,0.2047652
42284,0,0.44159788
42285,0,0.044825558
42286,0,0.03287627
42287,1,0.73465145
42288,0,0.30034938
42289,1,0.87280864
42290,0,0.02116968
42291,1,0.8724887
42292,0,0.19297013
42293,1,0.82306504
42294,1,0.9741273
42295,0,0.117258035
42296,0,0.11826267
42297,0,0.24212293
42298,0,0.06957018
42299,1,0.8235086
42300,0,0.492093
42301,0,0.2976529
42302,0,0.1639829
